Timestamp	Ah	Voltage (V)	Current (A)	Power (Watt)	Speed (m/s)	Distance (m)	Degree (°)	RPM (Rounds/Minute)	ThO	ThI	AuxA	AuxD	Flgs
11:53:38	1.85	16.49	9.92	163.58	88.11	256.0	30.75	3558.91	0.25	0.3	0.8	0.61	122
11:53:39	4.36	13.42	8.63	115.81	39.35	945.38	27.69	2560.31	0.87	0.18	0.27	0.51	101
11:53:40	4.41	15.23	9.45	143.92	6.73	477.71	27.66	4550.55	0.62	0.75	0.57	0.47	177
11:53:41	4.07	16.06	2.57	41.27	5.84	11.73	26.86	2458.73	0.55	0.63	0.12	0.84	219
11:53:42	4.87	18.06	4.25	76.75	80.73	887.02	31.64	3490.92	0.23	0.4	0.99	0.32	202
11:53:43	3.96	14.04	6.74	94.63	77.71	520.89	26.3	480.12	0.08	0.64	0.27	1.0	176
11:53:44	3.79	11.76	1.38	16.23	18.14	376.27	27.78	4625.45	0.09	0.21	0.35	0.6	157
11:53:45	4.19	10.09	4.69	47.32	18.79	801.03	31.14	3754.2	0.77	0.03	0.6	0.36	35
11:53:46	2.23	14.8	3.11	46.03	35.21	42.21	31.24	4466.09	0.81	0.8	0.11	0.88	57
11:53:47	3.34	12.71	9.36	118.97	12.32	548.1	25.19	1339.84	0.36	0.37	0.47	0.39	202
11:53:48	4.81	17.13	8.29	142.01	55.38	610.23	29.61	3649.08	0.04	0.53	0.21	0.64	179
11:53:49	1.35	10.95	6.45	70.63	27.98	333.78	31.46	324.52	0.9	0.57	0.17	0.46	246
11:53:50	2.31	11.7	7.22	84.47	27.65	674.59	28.38	3960.46	0.62	0.19	0.06	0.42	110
11:53:51	2.68	20.0	4.66	93.2	11.55	539.45	28.84	4077.36	0.89	0.7	0.66	0.71	30
11:53:52	1.74	15.41	7.52	115.88	66.86	281.78	29.37	4773.42	0.2	0.2	0.18	0.48	52
11:53:53	4.14	17.84	2.49	44.42	1.19	950.81	27.62	4513.81	0.39	0.89	0.71	0.55	57
11:53:54	1.79	18.7	3.64	68.07	4.38	740.54	26.81	3663.76	0.41	0.25	0.02	0.9	96
11:53:55	3.44	13.39	5.59	74.85	12.14	640.44	29.95	4821.69	0.18	0.18	0.32	0.4	107
11:53:56	2.37	18.14	9.14	165.8	50.39	501.63	25.09	844.3	0.75	0.34	0.91	0.95	38
11:53:57	4.97	15.33	5.61	86.0	68.07	519.24	29.39	1879.64	0.24	0.41	0.28	0.73	30
11:53:58	3.35	19.41	1.2	23.29	57.34	887.65	25.85	3515.91	0.9	0.75	0.44	0.24	57
11:53:59	2.51	10.57	7.04	74.41	22.93	789.48	26.77	1162.44	0.16	0.0	0.24	0.98	152
11:54:00	0.72	13.96	8.76	122.29	68.69	90.37	28.42	3107.01	0.12	0.58	0.27	0.66	188
11:54:01	1.17	17.64	8.84	155.94	46.37	993.66	25.23	707.54	0.26	0.96	0.78	0.6	240
11:54:02	0.59	17.05	2.52	42.97	64.06	508.39	27.45	4233.86	0.21	0.02	0.73	0.82	53
11:54:03	0.41	15.32	8.31	127.31	87.78	941.54	31.97	2674.38	0.88	0.96	0.61	0.06	166
11:54:04	1.54	17.05	9.31	158.74	45.23	306.13	27.61	2026.03	0.09	0.13	0.4	0.44	234
11:54:05	4.37	18.54	3.15	58.4	34.83	638.46	30.9	4252.29	0.53	0.76	0.14	0.55	240
11:54:06	2.17	11.06	7.09	78.42	7.07	928.25	27.16	3734.92	0.21	0.19	0.9	0.22	222
11:54:07	2.3	16.35	5.39	88.13	13.09	558.95	31.79	3996.64	0.26	0.39	0.44	0.38	106
11:54:08	4.26	15.65	8.06	126.14	65.28	322.08	25.27	39.89	0.69	0.14	0.52	0.8	91
11:54:09	0.38	15.76	8.08	127.34	61.26	471.85	25.64	2246.42	0.36	0.96	0.92	0.03	245
11:54:10	2.65	15.24	5.16	78.64	80.82	780.17	28.07	1810.75	0.51	0.61	0.15	0.8	173
11:54:11	2.06	13.76	8.29	114.07	87.2	92.46	25.99	2885.13	0.48	0.27	0.89	0.37	184
11:54:12	0.6	18.56	3.44	63.85	47.04	195.09	25.98	1954.48	0.17	0.96	0.26	0.41	194
11:54:13	0.2	19.83	6.94	137.62	97.68	137.62	26.15	2209.66	0.63	0.94	0.74	0.98	232
11:54:14	3.73	16.29	8.73	142.21	54.25	326.75	29.29	3969.96	0.29	0.85	0.81	0.16	0
11:54:16	0.87	11.7	2.72	31.82	93.28	615.38	30.1	3399.24	0.67	0.22	0.63	0.46	35
11:54:17	4.53	13.37	7.55	100.94	91.97	223.25	26.59	705.57	0.52	0.32	0.65	0.19	74
11:54:18	2.76	14.48	8.97	129.89	11.04	467.24	31.21	4418.5	0.38	0.98	0.03	0.83	132
11:54:19	3.29	18.92	1.46	27.62	48.92	435.53	30.01	3608.91	0.43	0.94	0.14	0.22	53
11:54:20	4.64	18.46	5.48	101.16	43.31	18.66	29.34	4858.28	0.57	0.6	0.98	0.29	164
11:54:21	3.5	12.69	3.03	38.45	49.26	975.24	29.99	484.11	0.11	0.66	0.9	0.31	33
11:54:22	1.26	16.71	2.34	39.1	28.55	820.99	30.69	4564.2	0.71	0.07	0.37	0.18	39
11:54:23	2.72	14.21	1.87	26.57	19.51	651.7	28.48	2510.22	0.25	0.14	0.95	0.04	79
11:54:24	1.24	19.79	4.04	79.95	24.7	331.48	30.29	514.27	0.5	0.74	0.57	0.29	51
11:54:25	1.6	11.17	1.63	18.21	2.73	408.54	27.29	825.71	0.13	0.43	0.94	0.74	42
11:54:26	0.31	17.89	0.67	11.99	43.76	645.05	30.65	3081.92	0.86	0.27	0.13	0.97	48
11:54:27	2.7	14.02	7.1	99.54	7.7	470.48	27.36	4972.84	0.08	0.5	0.51	0.52	144
13:09:11	4.1	19.36	0.51	9.87	90.77	707.23	25.99	3064.13	0.06	0.41	0.21	0.43	152
13:09:12	2.86	19.16	4.1	78.56	34.53	298.97	30.04	3236.45	0.23	0.53	0.04	0.03	20
13:09:13	3.69	17.86	7.65	136.63	65.0	61.8	30.15	3117.83	0.87	0.14	0.0	0.94	5
13:09:14	2.28	13.3	0.86	11.44	49.89	874.58	31.59	3194.27	0.63	0.57	0.83	0.93	58
13:09:16	1.93	16.09	9.98	160.58	50.5	315.14	30.87	337.09	0.71	0.77	0.22	0.2	207
13:09:17	2.68	16.17	7.72	124.83	16.03	352.72	27.65	3320.58	0.35	0.52	0.7	0.76	222
13:09:18	3.85	18.73	6.03	112.94	88.74	606.95	30.54	4305.79	0.53	0.04	0.81	0.79	194
13:09:19	4.84	10.96	7.45	81.65	18.04	198.01	27.92	3551.76	0.41	0.03	0.68	0.97	230
13:09:20	4.74	15.22	4.98	75.8	20.68	514.93	31.65	4757.13	0.64	0.39	0.81	0.35	102
13:09:21	1.44	18.17	9.39	170.62	52.35	199.2	26.79	4052.33	0.76	0.06	0.24	0.96	74
13:09:22	1.24	14.91	4.84	72.16	95.95	163.42	26.88	2546.43	0.34	0.8	0.96	0.14	111
13:09:23	2.35	11.92	2.25	26.82	15.69	353.01	28.12	4122.18	0.71	0.33	0.33	0.19	183
13:09:24	4.0	18.03	4.68	84.38	51.13	418.86	26.67	508.25	0.48	0.91	0.96	0.41	173
13:09:25	4.19	16.56	3.45	57.13	34.49	350.65	31.15	1502.99	0.13	0.49	0.03	0.75	157
13:09:26	4.71	12.77	6.45	82.37	17.37	563.28	25.56	2337.44	0.45	0.42	0.89	0.2	103
13:09:27	4.18	13.78	3.13	43.13	94.73	948.1	30.27	4350.3	0.64	0.8	0.46	0.68	155
13:09:28	2.89	13.09	2.82	36.91	53.33	758.92	31.47	2108.13	0.4	0.01	0.42	0.97	218
13:09:29	2.18	13.33	9.99	133.17	22.46	511.8	25.24	2578.85	0.46	0.87	0.6	0.8	141
13:09:30	2.52	15.34	1.67	25.62	10.44	448.06	30.69	4668.76	0.28	0.88	0.22	0.81	141
13:09:31	0.58	19.79	2.49	49.28	37.25	203.36	26.87	1608.58	0.08	0.02	0.48	0.13	10
13:09:32	2.59	11.49	3.35	38.49	43.36	383.84	26.57	2698.7	0.74	0.24	0.99	0.44	245
13:09:33	3.69	12.76	5.03	64.18	93.5	159.29	30.97	2483.94	0.35	0.73	0.79	0.73	252
13:09:34	3.63	18.29	6.46	118.15	42.71	316.62	29.0	4043.49	0.73	0.44	0.4	0.54	91
13:09:35	1.99	11.14	6.72	74.86	48.56	695.53	28.22	4058.41	0.15	0.69	0.66	0.46	219
13:09:36	3.96	10.18	0.59	6.01	72.86	557.61	27.51	324.23	0.15	0.34	0.45	0.26	205
13:09:37	4.95	16.09	3.9	62.75	96.32	509.72	29.31	1077.1	0.17	0.42	0.56	0.09	231
13:09:38	2.6	10.12	0.83	8.4	89.51	734.09	29.95	4605.46	0.68	0.04	0.62	0.54	118
13:09:39	1.44	13.43	3.5	47.0	33.95	257.81	26.83	4135.48	0.37	0.69	0.54	0.48	206
13:09:40	2.54	10.43	1.97	20.55	22.16	263.14	29.86	431.99	0.33	0.38	0.61	0.01	98
13:09:41	1.24	14.89	1.92	28.59	70.77	820.65	28.86	1754.07	0.05	0.3	0.39	0.59	121
13:09:42	3.39	15.55	2.87	44.63	8.16	394.96	28.33	1945.5	0.54	0.93	0.72	0.35	85
13:09:43	3.23	10.02	2.97	29.76	23.35	295.63	27.74	4945.81	0.57	0.66	0.63	0.15	24
13:09:44	2.14	14.29	6.58	94.03	44.16	636.2	27.97	4540.61	0.9	0.04	0.18	0.92	92
13:09:45	1.13	16.47	4.01	66.04	60.85	72.15	26.86	3276.05	0.29	0.45	0.52	0.55	134
13:09:46	3.82	15.78	7.59	119.77	49.4	688.57	27.45	4615.04	0.27	0.36	0.4	0.06	221
13:09:47	2.88	14.04	6.67	93.65	53.57	86.36	30.89	2301.0	0.12	0.92	0.12	0.83	134
13:09:48	2.72	19.23	6.86	131.92	41.6	818.48	28.51	3755.94	0.03	0.73	0.09	0.68	83
13:09:49	3.77	11.44	5.69	65.09	61.92	218.45	25.88	905.81	0.39	0.59	0.01	0.54	71
13:09:50	0.4	19.53	6.71	131.05	3.86	680.59	26.99	239.39	0.32	0.3	0.92	0.75	176
13:09:51	2.49	13.45	9.84	132.35	92.73	758.24	29.73	3007.54	0.74	0.3	0.39	0.33	92
13:09:52	3.37	19.03	3.13	59.56	73.76	458.45	27.67	3217.65	0.82	0.35	0.0	0.61	229
13:09:53	4.25	10.28	1.31	13.47	14.82	142.65	27.96	1376.21	0.71	0.67	0.1	0.41	151
13:09:54	0.93	10.47	5.57	58.32	46.93	199.31	29.92	1708.47	0.24	0.68	0.33	0.76	110
13:09:55	1.15	13.58	4.75	64.5	88.3	869.18	31.05	179.76	0.49	0.04	0.82	0.55	70
13:09:56	4.8	14.34	4.23	60.66	70.47	166.94	28.78	2277.48	0.32	0.48	0.01	0.52	106
13:09:57	2.65	15.62	9.34	145.89	36.68	858.82	29.93	942.68	0.72	0.6	0.1	0.09	243
13:09:58	2.98	17.56	3.92	68.84	15.54	420.52	27.62	2329.23	0.95	0.78	0.45	0.07	113
13:09:59	2.64	13.19	3.45	45.51	33.15	582.61	25.76	347.79	0.88	0.79	0.1	0.6	103
13:10:00	2.9	19.11	6.1	116.57	42.82	13.04	27.25	4612.82	0.84	0.95	0.75	0.87	113
13:10:01	0.31	16.67	8.32	138.69	22.3	478.39	25.91	1412.08	0.6	0.34	0.13	0.19	59
13:10:02	4.49	14.57	9.24	134.63	13.26	543.83	31.23	594.41	0.29	0.49	0.18	0.99	245
13:10:03	1.63	10.97	3.49	38.29	24.71	933.65	30.32	1816.01	0.44	0.65	0.72	0.02	40
13:10:04	4.4	14.21	7.92	112.54	41.24	826.29	31.32	1928.77	0.65	0.08	0.56	0.77	80
13:10:05	4.54	14.64	5.5	80.52	43.4	31.08	27.12	3184.78	0.02	1.0	0.83	0.14	234
13:10:06	0.98	15.12	7.09	107.2	50.6	892.1	26.38	796.65	0.55	0.88	0.28	0.58	105
13:10:07	1.35	12.95	8.35	108.13	57.09	279.54	25.78	760.28	0.93	0.12	0.72	0.76	99
13:10:08	3.44	14.51	4.25	61.67	20.1	436.32	25.72	2013.84	0.11	0.88	0.34	0.33	21
13:10:09	2.47	15.06	1.52	22.89	45.56	912.98	30.35	3464.0	0.65	0.72	0.16	0.66	104
13:10:10	1.3	11.18	4.27	47.74	99.51	243.1	28.07	2038.18	0.58	0.22	0.56	0.61	223
13:10:11	4.7	16.46	0.55	9.05	21.82	751.13	27.38	4526.66	0.82	0.81	0.52	0.28	199
13:10:12	1.27	17.6	4.2	73.92	15.08	254.18	31.76	3546.32	0.05	0.22	0.01	0.52	179
13:10:13	3.65	12.44	7.43	92.43	34.52	321.58	27.4	4939.69	0.17	0.64	0.8	0.26	60
13:10:14	4.09	15.83	6.9	109.23	57.62	365.23	31.59	2087.99	0.74	0.69	0.57	0.74	188
13:10:15	3.05	10.87	4.91	53.37	25.24	799.82	26.16	142.45	0.96	0.18	0.57	0.87	214
13:10:16	0.83	18.15	6.41	116.34	19.79	607.38	26.49	1503.83	0.91	0.12	0.94	0.08	160
13:10:17	4.48	12.21	6.08	74.24	73.35	376.47	28.22	2360.6	0.73	0.49	0.62	0.59	100
13:10:18	2.55	19.35	9.58	185.37	84.08	614.33	27.24	1335.45	0.15	0.73	0.29	0.89	62
13:10:19	3.34	13.2	5.4	71.28	35.6	319.99	29.79	2176.25	0.01	0.39	0.8	0.58	131
13:10:20	1.79	16.58	1.17	19.4	59.0	922.02	25.3	3916.09	0.07	0.7	0.32	0.22	30
13:10:21	2.95	17.83	1.53	27.28	91.82	810.81	28.2	2659.75	0.28	0.45	0.21	0.36	144
13:10:22	1.57	13.11	3.93	51.52	18.87	22.58	26.32	4166.04	0.12	0.36	0.96	0.87	43
13:10:23	0.68	17.26	0.52	8.98	4.05	180.05	25.85	2874.81	0.23	0.8	0.91	0.91	170
13:10:24	3.83	17.86	6.33	113.05	39.28	523.95	27.69	4458.22	0.91	0.8	0.76	0.3	167
13:10:25	1.47	11.76	1.15	13.52	76.25	56.35	26.97	1934.42	0.69	1.0	0.92	0.29	160
13:10:26	4.31	13.97	1.77	24.73	36.9	845.66	30.81	968.02	0.92	0.73	0.22	0.6	101
13:10:27	2.13	13.53	9.94	134.49	10.98	222.6	29.69	2624.44	0.66	0.5	0.38	0.55	10
13:10:28	1.9	10.37	4.8	49.78	12.43	594.64	31.99	2161.24	0.93	0.72	0.61	0.3	147
13:10:29	3.61	12.96	2.6	33.7	26.65	761.67	26.48	4790.99	0.2	0.71	0.87	0.04	165
13:10:30	3.4	14.59	6.21	90.6	52.06	280.26	28.93	3603.23	0.93	0.49	0.03	0.78	249
13:10:31	1.65	15.86	3.82	60.59	85.98	930.28	28.37	692.86	0.53	0.03	0.33	0.46	10
13:10:32	0.79	10.97	9.12	100.05	85.92	145.62	27.07	1821.95	0.89	0.33	0.99	0.78	34
13:10:33	1.42	14.55	2.12	30.85	21.63	998.24	28.69	1232.46	0.11	0.29	0.49	0.39	120
13:10:34	4.85	14.03	7.88	110.56	89.34	7.34	28.63	576.24	0.89	0.44	0.63	0.13	36
13:10:35	2.43	17.85	2.66	47.48	82.72	495.31	31.63	3750.39	0.8	0.53	0.37	0.97	232
13:10:36	4.92	12.11	5.77	69.87	41.84	482.8	26.14	4701.0	0.73	0.17	0.15	0.54	105
13:10:37	4.37	16.95	0.91	15.42	51.64	466.56	28.49	788.0	0.48	0.87	0.78	0.69	234
13:10:38	2.7	14.62	9.59	140.21	1.38	813.52	29.13	2215.99	0.9	0.8	0.01	0.98	250
13:10:39	1.13	15.19	8.66	131.55	83.67	734.27	31.48	4579.07	0.38	0.95	0.22	0.59	40
13:10:40	4.06	13.77	1.2	16.52	42.77	127.7	25.02	1559.85	0.8	0.36	0.87	0.97	55
13:10:41	2.01	17.37	6.4	111.17	76.72	281.9	29.07	2697.81	0.03	0.73	0.58	0.98	72
13:10:42	5.0	11.9	9.34	111.15	28.54	740.55	31.99	2971.22	0.79	0.3	0.51	0.54	232
13:10:43	1.36	12.81	9.49	121.57	93.08	577.48	25.26	1771.75	0.3	0.19	0.17	0.54	217
13:10:44	2.29	13.67	8.33	113.87	22.78	310.76	27.81	1134.23	0.25	0.78	0.25	0.72	33
13:10:45	4.25	10.1	2.35	23.73	32.86	293.11	25.61	621.99	0.88	0.6	0.61	0.46	81
13:10:46	4.94	19.82	4.43	87.8	20.24	948.59	31.97	3571.62	0.35	0.19	0.04	0.94	159
13:10:47	3.05	17.54	2.82	49.46	80.67	917.91	29.91	648.14	0.62	0.52	0.61	0.03	171
13:10:48	3.27	17.63	3.3	58.18	24.04	36.34	31.48	2946.34	0.37	0.5	0.1	0.11	29
13:10:49	4.48	11.36	2.36	26.81	38.75	919.21	29.99	2641.38	0.55	0.09	0.9	0.74	83
13:10:50	4.83	13.05	8.22	107.27	64.96	747.6	26.84	683.35	0.98	0.67	0.06	0.69	28
13:10:51	4.79	14.71	8.0	117.68	31.85	307.39	29.3	4721.91	0.91	0.39	0.53	0.36	90
13:10:52	2.33	14.57	9.41	137.1	48.71	450.2	25.73	1749.95	0.93	0.35	0.63	0.55	191
13:10:53	2.32	10.89	9.76	106.29	56.04	526.86	25.21	3142.27	0.98	0.41	0.8	0.78	28
13:10:54	2.41	12.58	6.43	80.89	68.14	661.63	30.62	2739.25	0.48	0.52	0.5	0.2	126
13:10:55	2.52	19.18	7.68	147.3	79.98	404.18	26.29	2554.09	0.3	0.13	0.69	0.16	215
13:10:56	3.66	16.08	8.58	137.97	7.39	731.26	31.54	4304.51	0.2	0.89	0.1	0.55	244
13:10:57	2.12	13.52	5.95	80.44	34.35	758.9	31.25	964.9	0.28	0.03	0.55	0.38	160
13:10:58	3.62	15.37	9.92	152.47	98.43	485.05	27.3	2483.07	0.35	0.21	0.14	0.65	166
13:11:00	2.19	15.31	5.28	80.84	48.15	131.4	26.44	1976.55	0.43	0.8	0.84	0.57	131
13:11:01	1.67	15.69	4.6	72.17	67.45	546.91	26.59	1272.22	0.11	0.46	0.3	0.36	45
13:11:02	2.97	13.46	6.85	92.2	47.66	720.22	26.65	3041.68	0.5	0.73	0.88	0.86	54
13:11:03	2.49	15.77	5.91	93.2	81.71	368.12	28.21	4687.65	0.38	0.99	0.5	0.78	195
13:11:04	4.2	12.36	0.55	6.8	31.16	823.62	30.47	3047.89	0.32	0.25	0.76	0.22	205
13:11:05	2.86	19.66	2.28	44.82	12.67	949.7	29.97	3977.82	0.12	0.78	0.19	0.31	195
13:11:06	2.14	19.6	5.79	113.48	17.76	980.83	29.99	134.5	0.09	0.69	0.68	0.2	202
13:11:07	0.51	14.14	6.18	87.39	24.16	797.99	27.12	2148.1	0.32	0.68	0.21	0.98	21
13:11:08	4.09	17.51	6.22	108.91	88.97	960.91	30.71	4439.34	0.43	0.49	0.98	0.55	128
13:11:09	0.44	10.5	5.0	52.5	19.89	162.66	28.58	3753.36	0.62	0.92	0.36	0.01	86
13:11:10	3.6	15.58	2.44	38.02	75.55	869.93	27.83	2239.53	0.57	0.71	0.66	0.87	239
13:11:11	2.25	13.48	3.05	41.11	84.56	691.65	28.77	1164.19	0.1	0.49	0.66	0.83	132
13:11:12	1.36	10.08	5.59	56.35	12.36	963.48	30.77	2475.92	0.48	0.49	0.97	0.37	90
13:11:13	2.18	19.8	5.97	118.21	5.05	802.67	26.64	1416.84	0.05	0.23	0.56	0.26	110
13:11:14	4.52	13.8	6.85	94.53	67.84	102.01	26.45	2888.74	0.76	0.79	0.03	0.72	38
13:11:15	1.62	11.87	7.64	90.69	93.96	440.41	29.78	4445.15	0.88	0.81	0.08	0.27	24
13:11:16	3.14	15.86	2.19	34.73	57.95	428.24	31.26	4682.02	0.5	0.5	0.0	0.93	119
13:11:17	0.46	15.76	6.58	103.7	73.96	516.64	28.7	210.4	0.85	0.18	0.4	0.21	209
13:11:18	2.69	10.11	3.97	40.14	65.98	958.41	31.35	45.57	0.97	0.4	0.12	0.97	59
13:11:19	4.15	18.54	6.48	120.14	81.7	556.41	28.34	2169.66	0.92	0.23	1.0	0.65	102
13:11:20	0.8	14.53	2.6	37.78	68.95	727.37	25.14	1606.47	0.57	0.93	0.87	0.67	134
13:11:21	0.51	10.82	3.72	40.25	42.89	676.12	27.79	2123.16	0.07	0.87	0.27	0.65	60
13:11:22	1.29	14.13	5.39	76.16	44.74	889.62	27.3	3577.84	0.04	0.19	0.73	0.23	100
13:11:23	0.23	18.97	8.5	161.25	33.49	151.5	25.26	2359.74	0.69	0.79	0.93	0.4	133
13:11:24	4.95	10.34	4.69	48.49	29.71	372.9	28.87	4844.75	0.17	0.53	0.47	0.45	78
13:11:25	2.11	15.89	8.2	130.3	26.89	805.98	26.78	133.09	0.54	0.6	0.04	0.67	82
13:11:26	0.53	18.14	4.55	82.54	56.29	558.0	31.89	3462.74	0.55	0.42	0.6	0.92	58
13:11:27	1.34	10.35	8.95	92.63	29.84	904.11	25.84	4543.3	0.07	0.51	0.68	0.66	58
13:11:28	4.97	14.17	6.53	92.53	57.42	905.27	28.01	595.62	0.58	0.0	0.52	0.92	49
13:11:29	0.91	12.89	8.6	110.85	58.78	331.83	26.36	3564.62	0.26	0.18	0.43	0.11	38
13:11:30	3.5	13.49	7.63	102.93	87.92	954.57	28.52	1089.03	0.59	0.73	0.15	0.17	148
13:11:31	3.0	13.34	7.96	106.19	46.77	112.29	30.52	2785.39	0.47	0.55	0.85	0.17	202
13:11:32	3.87	16.05	3.74	60.03	84.08	621.09	26.6	3342.48	0.43	0.83	0.95	0.5	153
13:11:33	2.1	20.0	4.54	90.8	1.26	290.27	29.95	3501.81	0.93	0.9	0.46	0.39	113
13:11:34	0.35	16.01	6.39	102.3	38.62	348.36	25.59	4947.29	0.87	0.9	0.88	0.0	92
13:11:35	2.52	14.8	7.75	114.7	85.31	995.23	31.16	4469.23	0.79	0.6	0.6	0.68	215
13:11:36	3.33	18.63	7.27	135.44	12.24	179.06	25.44	1492.7	0.23	0.56	0.45	0.93	81
13:11:37	4.58	15.73	3.59	56.47	52.3	916.64	32.0	1199.73	0.82	0.04	0.39	0.58	186
13:11:38	4.41	10.14	1.3	13.18	87.73	785.8	27.03	1204.28	0.06	0.66	0.93	0.75	182
13:11:39	1.15	12.24	9.23	112.98	44.02	305.87	25.29	3564.59	0.93	0.59	0.95	0.76	8
13:11:40	1.45	14.84	2.57	38.14	70.1	257.13	29.4	4903.43	0.06	0.82	0.07	0.14	37
13:11:41	2.97	11.32	1.63	18.45	13.84	165.07	29.15	2888.71	0.35	0.12	0.3	0.98	15
13:11:42	3.79	18.83	7.1	133.69	45.78	281.17	28.92	3306.13	0.64	0.84	0.49	0.12	224
13:11:43	3.63	18.25	4.13	75.37	83.45	736.38	27.26	3865.01	0.97	0.1	0.63	0.66	106
13:11:44	1.76	18.53	2.93	54.29	47.48	997.97	25.68	566.86	0.55	0.79	0.87	0.29	221
13:11:45	2.55	14.37	7.52	108.06	54.05	986.92	30.8	1548.29	0.93	0.55	0.89	0.99	215
13:11:46	4.46	13.13	4.96	65.12	37.42	880.53	26.18	3686.32	0.96	0.26	0.24	0.46	30
